TEAM,ELITE SOS,YEAR
Saint Louis,26.6,2006
Saint Mary's,24.4,2006
Saint Peter's,21.8,2006
Sam Houston St.,16.3,2006
Samford,15.8,2006
San Diego,21.3,2006
San Diego St.,25.4,2006
San Francisco,25.5,2006
San Jose St.,26.7,2006
Santa Clara,26.7,2006
Savannah St.,15.1,2006
Seton Hall,32.5,2006
Siena,22.7,2006
South Alabama,18.0,2006
South Carolina,37.7,2006
South Carolina St.,8.9,2006
South Dakota St.,21.5,2006
South Florida,30.8,2006
Southeast Missouri St.,13.2,2006
Southeastern Louisiana,14.3,2006
Southern,10.1,2006
Southern Illinois,30.8,2006
Southern Miss,24.7,2006
Southern Utah,15.7,2006
St. Bonaventure,21.5,2006
St. Francis NY,13.2,2006
St. Francis PA,14.4,2006
St. John's,31.8,2006
Stanford,33.7,2006
Stephen F. Austin,9.7,2006
Stetson,7.2,2006
Stony Brook,18.1,2006
Syracuse,35.2,2006
TCU,26.3,2006
Temple,32.4,2006
Tennessee,36.4,2006
Tennessee Martin,15.7,2006
Tennessee St.,15.7,2006
Tennessee Tech,15.6,2006
Texas,33.8,2006
Texas A&M,28.4,2006
Texas A&M Corpus Chris,9.5,2006
Texas Pan American,18.8,2006
Texas Southern,10.9,2006
Texas St.,16.3,2006
Texas Tech,31.9,2006
The Citadel,10.4,2006
Toledo,17.3,2006
Towson,19.2,2006
Troy,16.9,2006
Tulane,21.5,2006
Tulsa,21.4,2006
UAB,24.2,2006
UC Davis,18.5,2006
UC Irvine,17.3,2006
UC Riverside,19.9,2006
UC Santa Barbara,18.2,2006
UCF,16.9,2006
UCLA,34.6,2006
UMBC,13.7,2006
UMKC,12.4,2006
UNC Asheville,19.9,2006
UNC Greensboro,15.7,2006
UNC Wilmington,24.3,2006
UNLV,27.8,2006
USC,30.5,2006
UT Arlington,19.0,2006
UTEP,21.5,2006
UTSA,16.6,2006
Utah,26.0,2006
Utah St.,24.3,2006
Utah Valley St.,8.8,2006
VCU,20.0,2006
VMI,12.5,2006
Valparaiso,13.0,2006
Vanderbilt,35.0,2006
Vermont,16.0,2006
Villanova,38.4,2006
Virginia,35.4,2006
Virginia Tech,30.5,2006
Wagner,11.0,2006
Wake Forest,34.6,2006
Washington,29.9,2006
Washington St.,33.2,2006
Weber St.,20.3,2006
West Virginia,37.8,2006
Western Carolina,16.1,2006
Western Illinois,16.3,2006
Western Kentucky,20.8,2006
Western Michigan,23.0,2006
Wichita St.,31.1,2006
William & Mary,21.9,2006
Winthrop,13.8,2006
Wisconsin,34.1,2006
Wofford,19.2,2006
Wright St.,22.2,2006
Wyoming,25.9,2006
Xavier,24.8,2006
Yale,9.9,2006
Youngstown St.,20.6,2006
Air Force,25.0,2007
Akron,17.6,2007
Alabama,32.4,2007
Alabama A&M,0.0,2007
Alabama St.,3.1,2007
Albany,14.9,2007
Alcorn St.,0.8,2007
American,9.7,2007
Appalachian St.,21.1,2007
Arizona,38.5,2007
Arizona St.,32.0,2007
Arkansas,35.3,2007
Arkansas Little Rock,12.8,2007
Arkansas Pine Bluff,6.0,2007
Arkansas St.,11.6,2007
Army,11.4,2007
Auburn,32.1,2007
Austin Peay,11.0,2007
BYU,26.5,2007
Ball St.,21.4,2007
Baylor,28.2,2007
Belmont,10.0,2007
Bethune Cookman,3.1,2007
Binghamton,8.2,2007
Boise St.,22.3,2007
Boston College,35.7,2007
Boston University,13.6,2007
Bowling Green,18.0,2007
Bradley,33.6,2007
Brown,14.3,2007
Bucknell,15.7,2007
Buffalo,20.3,2007
Butler,27.3,2007
Cal Poly,13.0,2007
Cal St. Fullerton,10.8,2007
Cal St. Northridge,14.1,2007
California,34.7,2007
Campbell,7.8,2007
Canisius,11.7,2007
Centenary,17.1,2007
Central Arkansas,13.6,2007
Central Connecticut,7.4,2007
Central Michigan,19.5,2007
Charleston Southern,15.3,2007
Charlotte,22.1,2007
Chattanooga,17.8,2007
Chicago St.,28.6,2007
Cincinnati,30.6,2007
Clemson,33.4,2007
Cleveland St.,24.8,2007
Coastal Carolina,9.3,2007
Colgate,12.8,2007
College of Charleston,16.2,2007
Colorado,31.0,2007
Colorado St.,26.0,2007
Columbia,8.4,2007
Connecticut,27.9,2007
Coppin St.,11.1,2007
Cornell,11.1,2007
Creighton,33.4,2007
Dartmouth,12.1,2007
Davidson,17.6,2007
Dayton,21.9,2007
DePaul,34.9,2007
Delaware,18.2,2007
Delaware St.,10.5,2007
Denver,10.2,2007
Detroit,24.7,2007
Drake,29.5,2007
Drexel,24.0,2007
Duke,37.1,2007
Duquesne,20.3,2007
East Carolina,22.7,2007
East Tennessee St.,8.0,2007
Eastern Illinois,8.2,2007
Eastern Kentucky,10.8,2007
Eastern Michigan,18.9,2007
Eastern Washington,16.1,2007
Elon,20.6,2007
Evansville,29.6,2007
FIU,13.6,2007
Fairfield,15.7,2007
Fairleigh Dickinson,9.6,2007
Florida,33.2,2007
Florida A&M,4.5,2007
Florida Atlantic,13.1,2007
Florida St.,34.7,2007
Fordham,19.1,2007
Fresno St.,19.7,2007
Furman,18.8,2007
Gardner Webb,15.7,2007
George Mason,21.9,2007
George Washington,19.3,2007
Georgetown,35.8,2007
Georgia,35.9,2007
Georgia Southern,14.8,2007
Georgia St.,20.7,2007
Georgia Tech,34.6,2007
Gonzaga,26.4,2007
Grambling St.,0.6,2007
Green Bay,19.3,2007
Hampton,3.8,2007
Hartford,12.6,2007
Harvard,13.9,2007
Hawaii,22.7,2007
High Point,7.0,2007
Hofstra,21.5,2007
Holy Cross,14.6,2007
Houston,26.0,2007
Howard,3.0,2007
IPFW,18.3,2007
IUPUI,16.6,2007
Idaho,23.8,2007
Idaho St.,18.8,2007
Illinois,32.2,2007
Illinois Chicago,23.9,2007
Illinois St.,29.7,2007
Indiana,35.1,2007
Indiana St.,33.9,2007
Iona,14.5,2007
Iowa,31.4,2007
Iowa St.,28.9,2007
